Rk,Player,WAR/pos,WAA/pos,From,To,Age,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,Pos,Tm
11,Home Run Baker\bakerfr01,62.7,36.9,1908,1922,22-36,1575,6677,5984,887,1838,315,103,96,991,473,,344,50,153,,,235,54,.307,.363,.442,.805,*5/H,PHA-NYY
12,Dave Bancroft\bancrda01,49.1,23.7,1915,1930,24-39,1913,8250,7182,1048,2004,320,77,32,591,827,,487,23,212,,,145,75,.279,.355,.358,.714,*6/H457,PHI-NYG-BSN-BRO
13,Ernie Banks\bankser01,67.8,28.8,1953,1971,22-40,2528,10396,9421,1305,2583,407,90,512,1636,763,202,1236,70,45,96,229,50,53,.274,.330,.500,.830,36/H57,CHC
14,Jake Beckley\becklja01,61.7,26.5,1888,1907,20-39,2392,10518,9551,1603,2938,473,244,87,1581,616,,526,183,167,,,315,,.308,.361,.436,.797,*3/87H941,PIT-PBB-NYG-CIN-STL
15,Johnny Bench\benchjo01,75.2,46.7,1967,1983,19-35,2158,8674,7658,1091,2048,381,24,389,1376,891,135,1278,19,11,90,201,68,43,.267,.342,.476,.817,*253H/798,CIN
16,Chief Bender\bendech01,5.2,4.9,1903,1925,19-41,507,1287,1147,102,243,40,10,6,116,75,,160,10,42,,,20,2,.212,.266,.280,.546,*1/H38745,PHA-BAL-PHI-CHW
17,Yogi Berra\berrayo01,59.5,34.1,1946,1965,21-40,2120,8364,7555,1175,2150,321,49,358,1430,704,91,414,52,9,44,146,30,26,.285,.348,.482,.830,*2H79/35,NYY-NYM
18,Craig Biggio\biggicr01,65.5,29.1,1988,2007,22-41,2850,12504,10876,1844,3060,668,55,291,1175,1160,68,1753,285,101,81,150,414,124,.281,.363,.433,.796,*4287/HD9,HOU
19,Wade Boggs\boggswa01,91.4,57.4,1982,1999,24-41,2439,10740,9180,1513,3010,578,61,118,1014,1412,180,745,23,29,96,236,24,35,.328,.415,.443,.858,*5DH/317,BOS-NYY-TBD
20,Jim Bottomley\bottoji01,35.0,8.7,1922,1937,22-37,1991,8358,7471,1177,2313,465,151,219,1422,664,,591,43,177,,33,58,15,.310,.369,.500,.869,*3H/4,STL-CIN-SLB
21,Lou Boudreau\boudrlo01,63.0,42.2,1938,1952,20-34,1646,7025,6029,861,1779,385,66,68,789,796,40,309,34,164,,155,51,50,.295,.380,.415,.795,*6/5H324,CLE-BOS
22,Roger Bresnahan\bresnro01,42.1,24.3,1897,1915,18-36,1446,5386,4481,682,1252,218,71,26,530,714,,403,67,112,,,212,4,.279,.386,.377,.764,*28/H5934716,WHS-BLA-NYG-STL-CHC
23,George Brett\brettge01,88.6,50.6,1973,1993,20-40,2707,11625,10349,1583,3154,665,137,317,1596,1096,229,908,33,26,120,235,201,97,.305,.369,.487,.857,*5D3/H796,KCR
24,Lou Brock\brocklo01,45.4,8.4,1961,1979,22-40,2616,11240,10332,1610,3023,486,141,149,900,761,124,1730,49,47,46,114,938,307,.293,.343,.410,.753,*79H8,CHC-STL
25,Dan Brouthers\broutda01,79.8,55.1,1879,1904,21-46,1676,7691,6726,1529,2303,462,206,107,1301,840,,238,105,20,,,257,,.342,.423,.520,.943,*3/7195H,TRO-BUF-DTN-BSN-BOS-BRO-LOU-BLN-PHI-NYG
